k, .01 ,.05, .10, .20 ,.30, .40 ,.50, .60, .70, .80 ,.90, .95 .99 k
0, .818, .358, .122 ,.012, .001 ,.000, .000 ,.000, .000 ,.000, .000, .000, .000 
1, .983, .736, .392, .069, .008, .001, .000, .000, .000 ,.000, .000, .000, .000 
2 ,.999, .925 ,.677 ,.206, .035 ,.004, .000 ,.000, .000, .000, .000 ,.000, .000 
3, 1.000, .984, .867 ,.411, .107, .016, .001, .000, .000, .000, .000, .000 ,.000 
4 ,1.000 ,.997 ,.957, .630, .238 ,.051, .006, .000, .000 ,.000, .000, .000, .000 
5 ,1.000, 1.000, .989, .804, .416, .126, .021 ,.002, .000, .000, .000, .000, .000 
6 ,1.000, 1.000 ,.998, .913, .608, .250 ,.058, .006, .000, .000 ,.000, .000, .000 
7 ,1.000, 1.000 ,1.000, .968, .772 ,.416 ,.132, .021, .001 ,.000 ,.000, .000, .000 
8 ,1.000, 1.000 ,1.000, .990, .887 ,.596 ,.252, .057 ,.005 ,.000, .000, .000, .000 
9 ,1.000 ,1.000 ,1.000, .997, .952, .755, .412 ,.128, .017, .001, .000, .000 ,.000 
10, 1.000, 1.000, 1.000, .999, .983, .872, .588 ,.245, .048, .003, .000, .000 ,.000 
11, 1.000, 1.000, 1.000, 1.000, .995, .943 ,.748, .404, .113 ,.010 ,.000, .000, .000 
12 ,1.000, 1.000 ,1.000, 1.000 ,.999 ,.979, .868 ,.584, .228, .032, .000 ,.000, .000 
13 ,1.000, 1.000 ,1.000, 1.000, 1.000, .994 ,.942, .750 ,.392 ,.087, .002 ,.000 ,.000 
14, 1.000, 1.000 ,1.000, 1.000, 1.000, .998, .979, .874, .584, .196, .011, .000 ,.000 
15, 1.000 ,1.000, 1.000, 1.000, 1.000, 1.000, .994, .949, .762 ,.370 ,.043, .003, .000 
16, 1.000 ,1.000, 1.000 ,1.000, 1.000, 1.000, .999, .984, .893, .589, .133 ,.016 ,.000 
17, 1.000 ,1.000, 1.000 ,1.000, 1.000, 1.000, 1.000, .996 ,.965 ,.794 ,.323, .075 ,.001 
18, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000 ,1.000 ,.999, .992, .931, .608, .264, .017 
19, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000 ,1.000 ,1.000 ,.999, .988, .878, .642, .182 
20, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000 ,1.000 ,1.000, 1.000 ,1.000, 1.000, 1.000, 1.000 
